id,nome,marca,genero,familia_olfativa,notas_olfativas,ocasiao,preco,imagem_path,corpus
1,Malbec Tradicional,O Boticário,masculino,amadeirado aromatico,bergamota lavanda cedro vetiver patchouli,noturno formal,189.9,imagens/01_malbec_tradicional,amadeirado aromatico bergamota lavanda cedro vetiver patchouli noturno formal masculino
2,Malbec Black,O Boticário,masculino,amadeirado especiado,canela pimenta rosa cedro couro whisky,noturno inverno,179.9,imagens/02_malbec_black,amadeirado especiado canela pimenta rosa cedro couro whisky noturno inverno masculino
3,Lily Essence,O Boticário,feminino,floral,lirio rosa iris ambar baunilha,noturno formal,159.9,imagens/03_lily_essence,floral lirio rosa iris ambar baunilha noturno formal feminino
4,Lily Absolu,O Boticário,feminino,floral oriental,lirio jasmim patchouli baunilha ambar,noturno inverno,319.9,imagens/04_lily_absolu,floral oriental lirio jasmim patchouli baunilha ambar noturno inverno feminino
5,Coffee Man Duo,O Boticário,masculino,amadeirado aromatico,cafe bergamota gengibre patchouli sandalo,diurno casual,149.9,imagens/05_coffee_man_duo,amadeirado aromatico cafe bergamota gengibre patchouli sandalo diurno casual masculino
6,Coffee Woman Seduction,O Boticário,feminino,gourmand,cafe flor de laranjeira chocolate baunilha ambar,noturno casual,149.9,imagens/06_coffee_woman_seduction,gourmand cafe flor de laranjeira chocolate baunilha ambar noturno casual feminino
7,Floratta Rosas,O Boticário,feminino,floral,rosa pessego jasmim almiscar ambar,diurno casual,164.9,imagens/07_floratta_rosas,floral rosa pessego jasmim almiscar ambar diurno casual feminino
8,Floratta Blue,O Boticário,feminino,floral aquatico,violeta jasmim iris almiscar sandalo,diurno casual,164.9,imagens/08_floratta_blue,floral aquatico violeta jasmim iris almiscar sandalo diurno casual feminino
9,Egeo Dolce,O Boticário,feminino,gourmand,pistache chantilly baunilha sandalo almiscar,diurno casual,149.9,imagens/09_egeo_dolce,gourmand pistache chantilly baunilha sandalo almiscar diurno casual feminino
10,Egeo Cherry Blast,O Boticário,feminino,floral oriental frutal,cereja caramelo baunilha framboesa bergamota,diurno casual,154.9,imagens/10_egeo_cherry_blast,floral oriental frutal cereja caramelo baunilha framboesa bergamota diurno casual feminino
